cell	sub
T24_CT_B10	2
T24_CT_B11	2
T24_CT_B12	2
T24_CT_C01	2
T24_CT_C02	2
T24_CT_C03	2
T24_CT_C04	2
T24_CT_C05	2
T24_CT_C06	2
T24_CT_C07	2
T24_CT_C08	2
T24_CT_C09	2
T24_CT_C10	2
T24_CT_C11	2
T24_CT_C12	2
T24_CT_D01	2
T24_CT_D02	2
T24_CT_D03	2
T24_CT_D04	2
T24_CT_D05	2
T24_CT_D06	2
T24_CT_D07	2
T24_CT_D08	2
T24_CT_D09	2
T24_CT_D10	2
T24_CT_D11	2
T24_CT_D12	2
T24_CT_E01	2
T24_CT_E02	2
T24_CT_E03	2
T24_CT_E04	2
T24_CT_E05	2
T24_CT_E06	2
T24_CT_E07	2
T24_CT_E08	2
T24_CT_E09	2
T24_CT_E10	2
T24_CT_E11	2
T24_CT_E12	2
T24_CT_F01	2
T24_CT_F02	2
T24_CT_F03	2
T24_CT_F04	2
T24_CT_F05	2
T24_CT_F06	2
T24_CT_F07	2
T24_CT_F08	2
T24_CT_F09	2
T24_CT_F10	2
T24_CT_F11	2
T24_CT_F12	2
T24_CT_G01	2
T24_CT_G02	2
T24_CT_G03	2
T24_CT_G04	2
T24_CT_G05	2
T24_CT_G06	2
T24_CT_G07	2
T24_CT_G08	2
T24_CT_G09	2
T24_CT_G10	2
T24_CT_G11	2
T24_CT_G12	2
T24_CT_H01	2
T24_CT_H02	2
T24_CT_H03	2
T24_CT_H04	2
T24_CT_H05	2
T24_CT_H06	2
T24_CT_H07	2
T24_CT_H08	2
T24_CT_H09	2
T24_CT_H10	2
T24_CT_H11	2
T24_CT_H12	2
T48_CT_A01	3
T48_CT_A02	3
T48_CT_A03	3
T48_CT_A04	3
T48_CT_A05	3
T48_CT_A06	3
T48_CT_A07	3
T48_CT_A08	3
T48_CT_A09	3
T48_CT_A10	3
T48_CT_A11	3
T48_CT_A12	3
T48_CT_B01	3
T48_CT_B02	3
T48_CT_B03	3
T48_CT_B04	3
T48_CT_B05	3
T48_CT_B06	3
T48_CT_B07	3
T48_CT_B08	3
T48_CT_B09	3
T48_CT_B10	3
T48_CT_B11	3
T48_CT_B12	3
T48_CT_C01	3
T48_CT_C02	3
T48_CT_C03	3
T48_CT_C04	3
T48_CT_C05	3
T48_CT_C06	3
T48_CT_C07	3
T48_CT_C08	3
T48_CT_C09	3
T48_CT_C10	3
T48_CT_C11	3
T48_CT_C12	3
T48_CT_D01	3
T48_CT_D02	3
T48_CT_D03	3
T48_CT_D04	3
T48_CT_D05	3
T48_CT_D06	3
T48_CT_D07	3
T48_CT_D08	3
T48_CT_D09	3
T48_CT_D10	3
T48_CT_D11	3
T48_CT_D12	3
T48_CT_E01	3
T48_CT_E02	3
T48_CT_E03	3
T48_CT_E04	3
T48_CT_E05	3
T48_CT_E06	3
T48_CT_E07	3
T48_CT_E08	3
T48_CT_E09	3
T48_CT_E10	3
T48_CT_E11	3
T48_CT_E12	3
T48_CT_F01	3
T48_CT_F02	3
T48_CT_F03	3
T48_CT_F04	3
T48_CT_F05	3
T48_CT_F06	3
T48_CT_F07	3
T48_CT_F08	3
T48_CT_F09	3
T48_CT_F10	3
T48_CT_F11	3
T48_CT_F12	3
T48_CT_G01	3
T48_CT_G02	3
T48_CT_G03	3
T48_CT_G04	3
T48_CT_G05	3
T48_CT_G06	3
T48_CT_G07	3
T48_CT_G08	3
T48_CT_G09	3
T48_CT_G10	3
T48_CT_G11	3
T48_CT_G12	3
T48_CT_H01	3
T48_CT_H02	3
T48_CT_H03	3
T48_CT_H04	3
T48_CT_H05	3
T48_CT_H06	3
T48_CT_H07	3
T48_CT_H08	3
T48_CT_H09	3
T48_CT_H10	3
T48_CT_H11	3
T48_CT_H12	3
T72_CT_A01	4
T72_CT_A02	4
T72_CT_A05	4
T72_CT_A06	4
T72_CT_A07	4
T72_CT_A08	4
T72_CT_A09	4
T72_CT_A10	4
T72_CT_A11	4
T72_CT_B01	4
T72_CT_B02	4
T72_CT_B03	4
T72_CT_B04	4
T72_CT_B05	4
T72_CT_B06	4
T72_CT_B07	4
T72_CT_B08	4
T72_CT_B09	4
T72_CT_B10	4
T72_CT_B11	4
T72_CT_B12	4
T72_CT_C01	4
T72_CT_C02	4
T72_CT_C03	4
T72_CT_C04	4
T72_CT_C06	4
T72_CT_C07	4
T72_CT_C08	4
T72_CT_C09	4
T72_CT_C10	4
T72_CT_C11	4
T72_CT_C12	4
T72_CT_D01	4
T72_CT_D02	4
T72_CT_D03	4
T72_CT_D04	4
T72_CT_D05	4
T72_CT_D06	4
T72_CT_D07	4
T72_CT_D08	4
T72_CT_D09	4
T72_CT_D10	4
T72_CT_D11	4
T72_CT_D12	4
T72_CT_E01	4
T72_CT_E02	4
T72_CT_E03	4
T72_CT_E04	4
T72_CT_E05	4
T72_CT_E06	4
T72_CT_E07	4
T72_CT_E08	4
T72_CT_E12	4
T72_CT_F01	4
T72_CT_F02	4
T72_CT_F04	4
T72_CT_F05	4
T72_CT_F07	4
T72_CT_F08	4
T72_CT_F09	4
T72_CT_F10	4
T72_CT_F11	4
T72_CT_G02	4
T72_CT_G03	4
T72_CT_G04	4
T72_CT_G05	4
T72_CT_G06	4
T72_CT_G07	4
T72_CT_G08	4
T72_CT_G09	4
T72_CT_G10	4
T72_CT_G11	4
T72_CT_G12	4
T72_CT_H01	4
T72_CT_H02	4
T72_CT_H03	4
T72_CT_H04	4
T72_CT_H05	4
T72_CT_H06	4
T72_CT_H08	4
T72_CT_H09	4
T72_CT_H10	4
T72_CT_H11	4
T72_CT_H12	4
